customer_id,first_name,last_name,phone_number,transaction_count,customer_segment,satisfaction_score
0,Laura,Anderson,+374 (49) 082773,0.0,Inactive,8
1,Alex,Turner,+374 (84) 515643,2.0,Occasional Buyer,7
2,Rebekah,Rodriguez,+374 (57) 405762,4.0,Occasional Buyer,8
3,Brandy,Miller,+374 (94) 879735,1.0,One-Time Buyer,9
4,Dustin,Harper,+374 (18) 104579,3.0,Occasional Buyer,7
5,Nicole,Gordon,+374 (97) 863036,2.0,Occasional Buyer,7
6,Michael,Gibbs,+374 (88) 310643,2.0,Occasional Buyer,9
7,Daniel,Ryan,+374 (71) 754832,3.0,Occasional Buyer,8
8,Harold,Doyle,+374 (58) 812648,2.0,Occasional Buyer,6
9,Jessica,Jordan,+374 (99) 762425,6.0,Frequent Buyer,8
10,Julie,Flores,+374 (96) 369324,3.0,Occasional Buyer,6
11,Jeffery,Brown,+374 (33) 267617,0.0,Inactive,6
12,Christopher,Irwin,+374 (87) 917902,2.0,Occasional Buyer,7
13,John,Obrien,+374 (12) 217630,1.0,One-Time Buyer,4
14,Sharon,Reynolds,+374 (22) 947024,2.0,Occasional Buyer,4
15,Jessica,Bishop,+374 (16) 767161,3.0,Occasional Buyer,6
16,Meredith,Brown,+374 (47) 051344,0.0,Inactive,5
17,Beth,Sloan,+374 (68) 036518,1.0,One-Time Buyer,7
18,Bryan,Edwards,+374 (97) 132516,4.0,Occasional Buyer,6
19,Christine,Norton,+374 (88) 436730,6.0,Frequent Buyer,5
20,Cynthia,Lawson,+374 (24) 905050,3.0,Occasional Buyer,9
21,Melissa,Dunlap,+374 (35) 622054,2.0,Occasional Buyer,7
22,Shannon,Williams,+374 (18) 126832,3.0,Occasional Buyer,7
23,Donald,Malone,+374 (73) 088644,5.0,Occasional Buyer,5
24,Michael,Mcdaniel,+374 (69) 594416,3.0,Occasional Buyer,6
25,Kathleen,Copeland,+374 (48) 828399,2.0,Occasional Buyer,7
26,Andrew,Scott,+374 (59) 109850,0.0,Inactive,5
27,Christopher,Hicks,+374 (17) 346944,2.0,Occasional Buyer,8
28,Adam,Hernandez,+374 (28) 830421,1.0,One-Time Buyer,6
29,Elizabeth,Ford,+374 (75) 857372,3.0,Occasional Buyer,7
30,Paul,Hart,+374 (10) 538574,2.0,Occasional Buyer,6
31,Wendy,Lowery,+374 (95) 013366,1.0,One-Time Buyer,10
32,Andrea,Mcdonald,+374 (42) 482592,3.0,Occasional Buyer,7
33,Justin,Davis,+374 (50) 341318,5.0,Occasional Buyer,5
34,Don,Warren,+374 (33) 164178,2.0,Occasional Buyer,8
35,Erin,Morris,+374 (33) 763073,3.0,Occasional Buyer,5
36,Natalie,Perez,+374 (74) 704812,2.0,Occasional Buyer,7
37,Leslie,Warren,+374 (84) 217031,2.0,Occasional Buyer,4
38,Emily,Fischer,+374 (47) 940215,2.0,Occasional Buyer,5
39,Kathryn,Caldwell,+374 (61) 398065,4.0,Occasional Buyer,7
40,Elizabeth,Martinez,+374 (26) 818664,0.0,Inactive,8
41,Alexis,Ramirez,+374 (49) 161447,1.0,One-Time Buyer,7
42,Belinda,Peters,+374 (30) 905227,3.0,Occasional Buyer,7
43,Noah,Cooper,+374 (58) 432287,3.0,Occasional Buyer,7
44,Joshua,Tucker,+374 (72) 950409,3.0,Occasional Buyer,5
45,Michele,Pollard,+374 (29) 588043,2.0,Occasional Buyer,6
46,Kimberly,Chapman,+374 (71) 962843,3.0,Occasional Buyer,6
47,Wesley,Pham,+374 (56) 094257,0.0,Inactive,9
48,Philip,Barrett,+374 (63) 432316,3.0,Occasional Buyer,8
49,Heather,Miller,+374 (65) 333399,1.0,One-Time Buyer,4
50,Patrick,Gregory,+374 (39) 497713,2.0,Occasional Buyer,7
51,Leah,Hobbs,+374 (47) 202608,1.0,One-Time Buyer,6
52,Danny,Jensen,+374 (31) 406565,3.0,Occasional Buyer,6
53,James,Hunt,+374 (99) 431273,0.0,Inactive,8
54,Ricky,Preston,+374 (82) 283327,2.0,Occasional Buyer,9
55,Jessica,Ward,+374 (45) 649436,3.0,Occasional Buyer,8
56,Shawna,Russell,+374 (69) 277639,6.0,Frequent Buyer,6
57,Chad,Simon,+374 (20) 639007,1.0,One-Time Buyer,7
58,Paul,Price,+374 (39) 188988,1.0,One-Time Buyer,7
59,Perry,Ho,+374 (96) 155558,2.0,Occasional Buyer,8
60,Ralph,Ellison,+374 (39) 823282,3.0,Occasional Buyer,6
61,Matthew,Gibson,+374 (47) 659539,2.0,Occasional Buyer,7
62,Cheryl,Hernandez,+374 (33) 554152,5.0,Occasional Buyer,5
63,Mike,Maldonado,+374 (97) 750208,1.0,One-Time Buyer,5
64,Brent,Bell,+374 (57) 112179,2.0,Occasional Buyer,8
65,Darryl,Jones,+374 (49) 092194,4.0,Occasional Buyer,9
66,Daisy,Mendoza,+374 (53) 585619,3.0,Occasional Buyer,7
67,Jillian,Kim,+374 (27) 879687,1.0,One-Time Buyer,9
68,Chelsey,Neal,+374 (51) 165472,4.0,Occasional Buyer,8
69,Heather,White,+374 (94) 665747,1.0,One-Time Buyer,6
70,Matthew,Fisher,+374 (67) 230510,0.0,Inactive,8
71,Becky,Pace,+374 (17) 688342,1.0,One-Time Buyer,9
72,Joseph,Peterson,+374 (84) 244603,4.0,Occasional Buyer,7
73,Miguel,Williams,+374 (59) 137198,3.0,Occasional Buyer,9
74,Emily,Wilson,+374 (52) 295786,2.0,Occasional Buyer,3
75,Shannon,Lindsey,+374 (54) 667226,4.0,Occasional Buyer,8
